"PowerBoard-Pilot (Flyback)  Revised: Thursday, October 06, 2016"									
          Revision: 									
"Bill Of Materials        October 25,2016      11:31:07"	Page1								
									
Item	Quantity	Reference	Part	Manufacturer	Model	Package	unit price	Digikey No.	total cost
1	3	"C1,C2,C4"	150uF/35V			d8smdcap	0.2	493-2291-2-ND	0.6
2	3	"C3,C20,C21"	100nF/500V			csmd1812	0.282	720-1130-2-ND	0.846
3	2	"C5,C9"	10uF/25V			d5smdcap	0.058	PCE3895TR-ND	0.116
4	2	"C6,C7"	470uF/10V			d8smdcap	0.238	PCE3780TR-ND	0.476
5	8	"C8,C14,C18,C19,C22,C23,C24,C27"	100nF			csmd0805	0.006	1276-2434-2-ND	0.048
6	9	"C10,C35,C38,C41,C42,C45,C46,C48,C50"	10nF			csmd0805	0.006		0.054
7	2	"C11,C44"	470pF			csmd0805	0.006		0.012
8	10	"C12,C15,C16,C17,C25,C26,C39,C40,C43,C47"	1nF			csmd0805	0.006		0.06
9	2	"C13,C37"	1uF			csmd0805	0.006		0.012
10	2	"C28,C33"	4.7nF/Y2	Murata	DE2E3KY472MA2BM01F	capdsk5	0.11	490-9480-ND	0.22
11	2	"C29,C30"	100nF/X2	TDK	B32921C3104M	caprec10	0.116	495-4197-2-ND	0.232
12	2	"C31,C32"	100uF/400V	Nichicon	UCY2G101MHD6	cap_d18	1.43	493-5465-ND	2.86
13	2	"C34,C36"	100pF			csmd0805	0.006		0.012
14	1	C49	470nF			csmd0805	0.006		0.006
15	3	"D1,D2,D5"	US1D			sma	0.075	ES1DFSCT-ND	0.225
16	4	"D3,D8,D9,D12"	US1J			sma	0.086	US1J-FDITR-ND	0.344
17	3	"D4,D15,D16"	1N4148			sod123	0.039	1N4148WS-E3-08TR-ND	0.117
18	1	D6	B350A	Vishay		sma	0.14	B350A-FDITR-ND	0.14
19	1	D7	bzx384c24	Vishay		sod323	0.044	568-10311-2-ND	0.044
20	1	D10	bzx384c5v1	Vishay		sod323	0.0306	BZX384C51-E3-18-ND	0.0306
21	1	D11	bzx384c5v1	Vishsy		sod323	0.0306		0.0306
22	1	D13	MURHD560	ON Semiconductor		dpakheat	0.44	MURHD560T4GOSTR-ND	0.44
23	1	D14	RS406L(600V/4A)	RCTRON Semiconductor		rs4l	0.7	583-RS406L	0.7
24	1	D17	DIODE TVS			smc			0
25	1	J1	CON3	Phoenix Contact	PTSA 0.5/3-2.5-Z	conzig3by35	0.264	277-1795-ND	0.264
26	1	J2	CON3	Molex	39301039	minifitjr-3	0.345	WM18442-ND	0.345
27	1	J3	HEADER 11X2	3M	929852-01-11-RA	HEADER11BY2	1.512	929852E-01-11-ND	1.512
28	1	LS1	EC2-5NU	KEMET		EC2	1	399-11052-5-ND	1
29	1	L1	10uH(22R103MC)	Murata		rm22	0.67	811-2424-2-ND	0.67
30	1	L2	560uH/1.5A			dmt2-567-1.5L	4.5		4.5
31	1	L3	BEAD			rsmd0805	0.006		0.006
32	1	Q1	STD6N65M2	ST		DPAK	0.637	497-15049-2-ND	0.637
33	4	"Q2,Q3,Q4,Q5"	STGD5H60DF	ST		dpakheat	0.42	497-16479-2-ND	1.68
34	1	Q6	STD6N65M2	ST		dpakheat	0.637		0.637
35	1	RV1	TMOV14RP300E	LIttlefuse		var140	0.873	TMOV14RP300EL2T7-ND	0.873
36	1	R1	50K/2W			rth2w	0.05		0.05
37	1	R2	47			rsmd0805	0.002	RMCF0805JT10K0TR-ND	0.002
38	5	"R3,R18,R19,R29,R30"	10			rsmd0805	0.002		0.01
39	11	"R4,R10,R11,R20,R21,R22,R23,R25,R26,R32,R33"	10K			rsmd0805	0.002		0.022
40	1	R5	0.5			rsmd2512	0.022	YAG1232TR-ND	0.022
41	1	R6	0			rsmd0805	0.002		0.002
42	1	R7	1K			rsmd0805	0.002		0.002
43	1	R8	7.5K			rsmd0805	0.002		0.002
44	1	R9	4.7K			rsmd0805	0.002		0.002
45	1	R12	10M			rsmd0805	0.002		0.002
46	1	R13	68K			rsmd0805	0.002		0.002
47	2	"R14,R15"	50K			rsmd0805	0.002		0.004
48	1	R16	100			rsmd0805	0.002		0.002
49	4	"R17,R24,R27,R34"	5			rsmd0805	0.002		0.008
50	3	"R28,R31,R50"	0.1			rsmd2512	0.022		0.066
51	4	"R35,R36,R37,R38"	1M			rsmd0805	0.002		0.008
52	2	"R39,R40"	25K			rsmd0805	0.002		0.004
53	4	"R41,R42,R43,R44"	2M			smd080512	0.002		0.008
54	1	R45	100K/2W			rth2w	0.05		0.05
55	2	"R46,R48"	24.9K			smd080512	0.002		0.004
56	11	"R47,R57,R59,R60,R62,R63,R66,R67,R75,R79,R90"	10K			smd080512	0.002		0.022
57	1	R49	200/1W			rth2w	0.05		0.05
58	2	"R51,R56"	10			smd080512	0.002		0.004
59	2	"R52,R53"	7.5			smd080512	0.002		0.004
60	1	R54	100K			smd080512	0.002		0.002
61	1	R55	0			smd080512	0.002		0.002
62	1	R58	33K			smd080512	0.002		0.002
63	4	"R61,R65,R72,R86"	100			smd080512	0.002		0.008
64	1	R64	1.2K			smd080512	0.002		0.002
65	4	"R68,R80,R83,R94"	330K			smd080512	0.002		0.008
66	8	"R69,R71,R76,R78,R82,R87,R88,R92"	1K			smd080512	0.002		0.016
67	2	"R70,R73"	2K			smd080512	0.002		0.004
68	4	"R74,R77,R89,R91"	500K			smd080512	0.002		0.008
69	4	"R81,R84,R85,R93"	10M			smd080512	0.002		0.008
70	1	T1	TRAN_ISDN_02			ef20	3		3
71	1	T2	BU15 (7.5mH/1A)	Coilcraft	BU15-7521R0BL	tr_bu15	1.15		1.15
